OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0026;3360;Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;0;0;0;1;753;0;0;0;0;0;0;0;0;22;0;0;0;0;0;20;0;0;0;0;0;565;0;0;0;38;1961
Otu0027;3156;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;0;0;21;0;0;2924;0;0;0;4;0;0;77;0;0;116;0;1;0;0;0;0;0;0;0;0;0;0;13
Otu0028;3066;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;0;3;3042;0;0;0;0;0;0;17;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
Otu0029;2954;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;1;0;0;0;0;0;0;0;0;0;2268;152;0;1;0;0;127;0;0;22;382;0;0;0;0;0;0;0;0;1;0
Otu0030;2903;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;2;0;0;0;177;2437;0;0;0;0;0;0;255;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
Otu0031;2675;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;0;0;0;0;0;2664;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Otu0032;2634;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;0;0;0;0;0;0;0;2633;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Otu0033;2582;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0;0;0;26;0;0;0;0;0;0;0;0;0;121;1;0;0;459;0;161;1143;0;50;1;547;0;44;28;0;1;0
Otu0034;2512;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;0;0;0;0;0;0;0;0;37;0;0;20;0;379;0;0;9;564;0;213;573;0;18;0;588;0;107;0;0;0;4
Otu0035;2339;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;0;0;0;229;0;240;0;1095;0;52;0;0;0;0;201;0;0;0;0;0;445;0;77;0;0;0;0;0;0;0;0
Otu0036;2322;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;0;0;0;0;222;534;0;0;0;1336;162;0;1;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0037;2262;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2261;0;0;0;0;0
Otu0038;2247;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;0;0;0;0;0;0;2247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0039;2170;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus;0;0;0;0;0;0;0;0;0;0;817;696;0;0;0;0;657;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0040;2038;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;1;0;0;0;0;0;0;0;0;0;612;680;0;0;0;0;501;0;0;0;244;0;0;0;0;0;0;0;0;0;0
Otu0041;1998;Bacteria;Firmicutes;Bacilli;Bacillales;Family_XI;Gemella;0;0;0;0;23;236;285;1246;0;0;0;0;41;16;0;0;0;0;0;9;0;0;0;41;0;0;0;90;0;0;11
Otu0042;1963;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderiaceae_unclassified;0;0;0;0;0;0;1963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0043;1861;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia;0;0;0;0;0;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
Otu0044;1776;Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1775;0;0;0;0;0;1;0;0;0;0
Otu0045;1731;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacteriaceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1662;0;0;0;0;66
Otu0046;1687;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;1;147;9;261;14;0;1;275;1;188;25;38;11;10;64;76;72;22;27;6;0;0;39;59;144;15;33;121;1;21;6
Otu0047;1614;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;43;1;0;1464;0;0;0;0;0;0;74;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
Otu0048;1487;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacteriaceae_unclassified;0;1;0;0;0;0;1120;0;0;0;211;64;0;0;0;0;82;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Otu0049;1476;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0;0;0;0;0;0;1476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0050;1460;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paeniclostridium;0;0;0;0;199;0;0;0;0;0;0;0;0;134;0;0;0;0;52;280;0;0;0;0;0;262;0;0;0;9;524
Otu0051;1412;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;0;0;0;0;66;0;840;0;0;0;0;0;0;18;0;0;0;0;57;189;0;0;0;0;0;108;0;0;0;1;133
Otu0052;1396;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;656;0;0;0;5;175;0;16;0;0;166;0;0;1;377;0;0;0;0;0;0;0;0;0;0
Otu0053;1332;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;0;0;0;0;163;0;344;0;0;0;0;0;0;29;0;0;0;0;73;325;0;0;0;0;0;114;0;0;0;67;217
Otu0054;1300;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1257;0;0;0;3;40
Otu0055;1255;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;0;15;5;0;0;471;20;24;32;0;9;2;0;47;0;19;0;10;7;96;449;1;0;17;1;1;20;0;7;2;0
Otu0056;1254;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;0;0;0;0;0;0;1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0057;1223;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;0;0;0;0;0;0;1169;0;0;0;0;0;0;7;0;0;0;0;6;41;0;0;0;0;0;0;0;0;0;0;0
Otu0058;1141;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;0;0;0;0;17;0;0;0;0;0;0;0;0;1;0;0;0;0;164;0;0;0;0;0;0;831;0;0;0;57;71
Otu0059;1120;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Cupriavidus;0;0;0;0;0;0;0;0;0;0;984;63;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0060;1112;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Effusibacillus;0;0;0;0;0;247;669;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0061;1091;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Achromobacter;0;0;0;0;0;0;1086;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
